"topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic20","topic21","data$year"
0.0041347384,0.0023391482,0.00011839812,0.00019978943,0.002937553,0.00046468343,0.0015475337,0.00076462381,0.00011229409,0.0011088557,0.0073822732,0.001575419,0.00022289183,0.0014627518,0.96797568,0.00068572885,0.0003171835,0.0004625055,0.0014821247,5.9361158e-05,0.0046464638,2001
0.0054516792,0.0012070565,5.706312e-05,0.003912474,0.86667627,0.00049249863,0.10040553,0.0017254293,0.00080833957,0.00010804883,0.004343004,0.0021408154,7.2185569e-05,0.0013431159,0.0015778496,0.0016409297,0.0008258748,0.0013783739,0.0020126177,0.00091249327,0.0029083376,2000
0.00057995273,2.7274255e-05,0.019594016,0.59120333,0.27469388,0.000228109,0.039057873,0.0044541038,0.00020804124,0.00040415494,0.016821975,0.0090715196,2.3209441e-05,0.00038637343,0.00048529627,0.002428046,0.00019521425,0.003894432,0.0029041171,0.0037381609,0.029600926,2000
0.00024816071,1.5300091e-05,0.93869466,0.0027401999,0.0019068416,0.0002247315,0.0054749846,0.0043152007,5.4827673e-05,0.00060426543,0.013910672,0.017425653,0.00036284706,0.00034674146,0.00041667331,0.00019525383,0.00036356921,0.00090616423,0.00048898708,0.0045810747,0.0067232093,2000
2.9726691e-05,1.1318257e-05,0.0036179479,0.01643707,0.42248225,2.3764855e-05,0.54084069,0.0011845307,0.00019378467,3.2938591e-05,0.0026675714,0.005922656,4.8362675e-05,0.00012394767,3.8997652e-05,0.00015163729,7.2806732e-05,7.7855984e-05,0.00026490513,0.0056733601,0.00010387977,2000
0.00041263649,0.00023811808,0.02986878,0.0058634202,0.00018648717,0.0030037337,0.0032058819,0.0056441496,4.6373752e-05,0.0022228812,0.0094465576,0.0013735305,0.0029162229,0.003789189,0.0062166266,0.00092942093,0.00066688564,0.00099805417,0.9117099,0.002692861,0.0085683102,2000
0.00032980731,0.00018198619,0.022957129,0.0053271977,0.00016933007,0.0021909308,0.002635268,0.0058921464,4.2975218e-05,0.001691938,0.0082175722,0.001131276,0.0024904548,0.0030272589,0.0037743524,0.00067543861,0.00060738181,0.00092434743,0.92726898,0.0024846108,0.0079795886,2000
1.1757231e-06,1.9606287e-06,0.0025820464,0.98177165,0.0031447969,2.3818302e-06,0.0017956578,0.00023367687,1.246498e-06,2.1380589e-05,0.0014505098,0.00041560741,0.00015798533,0.0044675386,6.9994283e-05,6.1352046e-05,8.746335e-06,6.285271e-06,0.0029703437,0.00073392765,0.0001017535,2000
0.17555113,0.0039718188,0.019480549,0.0044869757,0.0058451174,0.0013858365,0.0027763203,0.0033208407,0.0027782922,0.0070324531,0.53738314,0.020117095,0.091430083,0.082268536,0.0091258343,0.001325449,0.0025970985,0.003524607,0.00028435679,0.008850107,0.016464341,2000
0.00022866031,2.8451588e-05,0.019250568,0.0013540934,0.00030862621,0.0035628998,0.0050838254,0.024686834,0.00019233495,0.00070734252,0.016836427,0.9024452,0.0039749169,0.00072155503,0.0058658686,0.0006795596,0.00058023771,0.0027650523,0.0016692705,0.0036596374,0.005398653,2000
0.00058671972,0.00015592089,0.010051229,0.0025190401,0.00020651429,0.001418321,0.0011962577,0.95292342,0.00036698073,0.0047402042,0.006942464,0.0016069802,0.0026635574,0.0024369427,0.0015914218,0.0013280407,0.0013783571,0.0014856325,0.0022318542,0.0024441481,0.0017260062,2000
0.0018476223,0.0021372505,0.0024267191,0.0056931521,0.0077452115,0.0023878168,0.57159305,0.00090927066,0.0028674442,0.00014486811,0.017277768,0.3597866,0.0015156961,0.0013122872,0.001394117,0.0045470092,0.0024465837,0.0025123211,0.00026792628,0.0055990554,0.0055882381,2000
3.1842577e-05,1.2635584e-05,0.0031528617,0.0012832478,3.4433e-07,0.00046617235,9.2631431e-05,0.0016519212,0.00050281611,0.0043399269,0.003972257,1.0896791e-05,0.00160596,0.97345084,0.0015307247,0.0011569406,0.00076159724,1.4462754e-06,0.00012362996,0.00035129359,0.0055000265,2000
3.7836584e-05,1.6487034e-05,0.006590174,0.0014031768,0.0059152716,1.8885296e-05,0.21102332,0.0026710446,2.6023226e-06,0.00011995353,0.015544354,0.74392754,0.0024357049,0.00091115868,0.00047273995,0.0014211837,0.00037541427,0.00011332573,0.00017033382,0.0042710034,0.0025585119,2000
0.0003931247,0.0012551306,0.0031166188,0.0065424084,0.027887512,0.00068983645,0.042267457,0.013905748,0.00022714425,0.010702414,0.26140657,0.010333246,0.017686434,0.0046157488,0.20047155,0.0042833239,0.0012182962,0.065659493,0.061443269,0.063424408,0.20247026,2000
0.00086799555,0.00059470552,0.0092685586,0.00074334868,0.00098878681,7.1753406e-05,0.0001347506,0.0018644473,6.2687868e-05,0.0026785168,0.002834474,0.00018282322,0.28971237,0.67249537,0.0014713432,1.3906455e-05,0.0029825156,0.0037636461,0.0042605074,0.0049222414,8.522009e-05,2000
0.00034744869,0.0001425743,0.025293302,0.0085957209,0.40598103,0.0012569408,0.0092309918,0.017621415,0.0014535153,0.0011271933,0.28137225,0.039023541,0.0010241076,0.0053713471,0.0094022909,0.0027394488,0.00075032422,0.038723838,0.0044015455,0.026245801,0.11989538,2000
0.0026524388,0.0033536125,0.011533355,0.24564254,0.031882346,0.0003907592,0.0027507422,0.0070147933,0.0023309353,0.005264496,0.01244787,0.0015394343,0.0017500735,0.016990837,0.53966689,0.028393462,0.0055166804,0.029349124,0.040405586,0.010085952,0.0010380897,2000
9.6632633e-05,4.2489934e-05,0.7544803,0.00074646197,0.0037883692,0.00014539492,0.00035990129,0.0055421675,0.00015433093,0.00068027846,0.20766892,0.0035060132,0.0020720703,0.0029378415,0.0026940946,0.00014879295,0.00031288096,0.00076884008,0.00061077217,0.0081910752,0.005052357,2000
0.00077895442,0.00014150573,0.015856575,0.0029757633,0.0022101025,2.4375448e-05,0.0009424875,0.61839336,0.00017757069,0.27520105,0.020987999,0.0023228552,0.022522675,0.0016652562,0.0059098499,0.0011066026,0.0036924866,0.010985258,0.0021186152,0.011185191,0.00080146646,2000
0.00029072509,0.00019375811,0.78442734,0.0020167166,0.0012621852,0.00043439277,0.00033474842,0.050105006,0.00017143015,0.0014141055,0.020733222,0.001684767,0.0017643368,0.1213919,0.0011395004,0.00059615076,0.00072967133,0.00063700299,0.00098932639,0.0057451469,0.003938552,2000
9.4637799e-05,0.00011874756,0.028870918,0.0018870539,0.0072698114,9.5674979e-05,0.0014614546,0.0085587837,0.00024917515,0.0028245044,0.83781666,0.002652243,0.0018110527,0.0066026864,0.022518938,0.00045495603,0.00019184141,0.007912701,0.044028085,0.0093585048,0.015221582,2000
2.4589976e-05,1.8481762e-05,0.00034335966,0.0010992057,0.014645801,2.9129769e-05,0.20318349,0.0071024541,0.0002214523,0.00157874,0.047060743,0.0038532238,0.0020387294,0.00063812442,0.00055072003,0.0013276276,0.00029663896,0.0013192053,0.0011797106,0.71242148,0.0010671241,2000
0.00028698577,0.00010602087,0.034681223,0.0047463616,0.16585883,0.00018070136,0.0028783015,0.050644226,0.001183919,0.0025896607,0.67561495,0.0040503079,0.0017428392,0.0085589588,0.0058041052,0.0014120495,0.00036763711,0.0059889052,0.0018223776,0.020966504,0.010515129,2000
0.00012008435,5.0339568e-05,0.37311107,0.0057521299,0.010834218,0.00087879872,0.0047066947,0.13912123,0.0014640681,0.0018245948,0.050260827,0.16652977,0.001565207,0.0098574869,0.0015033425,0.0017959874,0.0019081356,0.0029477796,0.0027558254,0.21222875,0.010783664,2000
0.0029127526,0.00061423279,0.18073712,0.0039707916,0.00030084315,0.0049112053,0.0013098527,0.57532519,0.00047153985,0.10027569,0.02639422,0.0039527859,0.016299579,0.023128536,0.024170827,0.0034146796,0.0045231082,0.0019022217,0.0059457128,0.010462976,0.0089761056,2001
0.0013035475,0.00056367798,0.59957761,0.0016671352,0.00012763523,0.0068624462,0.00065092248,0.0097434931,6.2248102e-05,0.0032716393,0.0171079,0.0048885117,0.006182136,0.0019989887,0.32335985,0.0018513572,0.0010503634,0.00045202245,0.0049441066,0.00089122861,0.013443183,2001
0.00046137007,0.00012527991,0.0054324437,0.0019779715,0.00019325256,0.0010339222,0.000980702,0.96753937,0.0004128702,0.0023465569,0.0057470948,0.0012535079,0.0014854524,0.0011538112,0.0013233101,0.0013971081,0.0010115665,0.0013164261,0.0016941846,0.0018438019,0.0012699951,2001
